h1,h2,q
20.0,0.0,1.0
20.0,0.0,2.357142857142857
20.0,0.0,3.7142857142857144
20.0,0.0,5.071428571428571
20.0,0.0,6.428571428571429
20.0,0.0,7.7857142857142865
20.0,0.0,9.142857142857142
20.0,0.0,10.5
20.0,0.0,11.857142857142858
20.0,0.0,13.214285714285715
20.0,0.0,14.571428571428573
20.0,0.0,15.928571428571429
20.0,0.0,17.285714285714285
20.0,0.0,18.642857142857142
20.0,0.0,20.0
20.0,0.6896551724137931,1.0
20.0,0.6896551724137931,2.357142857142857
20.0,0.6896551724137931,3.7142857142857144
20.0,0.6896551724137931,5.071428571428571
20.0,0.6896551724137931,6.428571428571429
20.0,0.6896551724137931,7.7857142857142865
20.0,0.6896551724137931,9.142857142857142
20.0,0.6896551724137931,10.5
20.0,0.6896551724137931,11.857142857142858
20.0,0.6896551724137931,13.214285714285715
20.0,0.6896551724137931,14.571428571428573
20.0,0.6896551724137931,15.928571428571429
20.0,0.6896551724137931,17.285714285714285
20.0,0.6896551724137931,18.642857142857142
20.0,0.6896551724137931,20.0
20.0,1.3793103448275863,1.0
20.0,1.3793103448275863,2.357142857142857
20.0,1.3793103448275863,3.7142857142857144
20.0,1.3793103448275863,5.071428571428571
20.0,1.3793103448275863,6.428571428571429
20.0,1.3793103448275863,7.7857142857142865
20.0,1.3793103448275863,9.142857142857142
20.0,1.3793103448275863,10.5
20.0,1.3793103448275863,11.857142857142858
20.0,1.3793103448275863,13.214285714285715
20.0,1.3793103448275863,14.571428571428573
20.0,1.3793103448275863,15.928571428571429
20.0,1.3793103448275863,17.285714285714285
20.0,1.3793103448275863,18.642857142857142
20.0,1.3793103448275863,20.0
20.0,2.0689655172413794,1.0
20.0,2.0689655172413794,2.357142857142857
20.0,2.0689655172413794,3.7142857142857144
20.0,2.0689655172413794,5.071428571428571
20.0,2.0689655172413794,6.428571428571429
20.0,2.0689655172413794,7.7857142857142865
20.0,2.0689655172413794,9.142857142857142
20.0,2.0689655172413794,10.5
20.0,2.0689655172413794,11.857142857142858
20.0,2.0689655172413794,13.214285714285715
20.0,2.0689655172413794,14.571428571428573
20.0,2.0689655172413794,15.928571428571429
20.0,2.0689655172413794,17.285714285714285
20.0,2.0689655172413794,18.642857142857142
20.0,2.0689655172413794,20.0
20.0,2.7586206896551726,1.0
20.0,2.7586206896551726,2.357142857142857
20.0,2.7586206896551726,3.7142857142857144
20.0,2.7586206896551726,5.071428571428571
20.0,2.7586206896551726,6.428571428571429
20.0,2.7586206896551726,7.7857142857142865
20.0,2.7586206896551726,9.142857142857142
20.0,2.7586206896551726,10.5
20.0,2.7586206896551726,11.857142857142858
20.0,2.7586206896551726,13.214285714285715
20.0,2.7586206896551726,14.571428571428573
20.0,2.7586206896551726,15.928571428571429
20.0,2.7586206896551726,17.285714285714285
20.0,2.7586206896551726,18.642857142857142
20.0,2.7586206896551726,20.0
20.0,3.4482758620689657,1.0
20.0,3.4482758620689657,2.357142857142857
20.0,3.4482758620689657,3.7142857142857144
20.0,3.4482758620689657,5.071428571428571
20.0,3.4482758620689657,6.428571428571429
20.0,3.4482758620689657,7.7857142857142865
20.0,3.4482758620689657,9.142857142857142
20.0,3.4482758620689657,10.5
20.0,3.4482758620689657,11.857142857142858
20.0,3.4482758620689657,13.214285714285715
20.0,3.4482758620689657,14.571428571428573
20.0,3.4482758620689657,15.928571428571429
20.0,3.4482758620689657,17.285714285714285
20.0,3.4482758620689657,18.642857142857142
20.0,3.4482758620689657,20.0
20.0,4.137931034482759,1.0
20.0,4.137931034482759,2.357142857142857
20.0,4.137931034482759,3.7142857142857144
