lr,epochs,batch_size,length,RMSE,loss
0.0399288778495815,347,103,400,0.1897853900090134,75.91415600360536
0.0300440828183511,557,27,400,0.472769027010221,189.1076108040884
0.0232328201523104,467,32,400,0.3877515867874259,155.10063471497034
0.0327189794109682,245,97,400,0.2851813965089768,114.0725586035907
0.0469583590962796,201,127,400,0.3524996246358216,140.99984985432863
0.0310653347265719,689,17,400,0.5083761611252798,203.350464450112
0.00164159003955,620,61,142,0.0614862394951657,8.731046008313529
0.0028099503290739,979,42,311,0.1763026783966999,54.83013298137367
0.0049850185093746,695,59,400,0.4444987184991118,177.79948739964473
0.049169928847436,573,112,400,0.3584998213640654,143.39992854562615
0.000585388469618,788,111,139,0.1039112865754716,14.443668833990554
0.0007467012682514,986,26,187,0.0575286027245937,10.757848709499022
0.0015293338113202,713,36,252,0.0730561470267502,18.41014905074105
0.036079675900121,493,91,400,0.2833684519271502,113.34738077086008
0.0010978735671586,1000,128,155,0.061373463011482,9.51288676677971
0.0010972198665028,200,128,165,0.2677002296516814,44.17053789252743
0.0011575439913704,1000,96,177,0.0506589443788877,8.966633155063123
0.0011422724900918,1000,128,162,0.0525591305985658,8.51457915696766
0.0011147717993871,1000,128,153,0.0801299219585687,12.25987805966101
0.0014280154525545,579,91,146,0.0535210740264775,7.814076807865716
0.0014107457687349,560,117,173,0.0574326958692569,9.935856385381443
0.0015846926534687,549,16,186,0.0453360922099357,8.43251315104804
0.0016123951115079,547,128,175,0.0609399744906126,10.664495535857204
0.0012886727743539,582,16,162,0.0527550196617165,8.546313185198073
0.0013678516270623,590,16,237,0.0473144049197026,11.213513965969517
0.0005,1000,128,148,0.086792441339337,12.845281318221875
0.0153906859052868,1000,118,400,0.2613827914900295,104.5531165960118
0.0011533563344714,542,16,205,0.0360304907667674,7.386250607187317
0.0010655974155419,539,16,207,0.0658924518294298,13.639737528691969
0.0419507143626645,1000,47,400,0.5915092528737623,236.60370114950493
0.0015864072667376,507,16,226,0.0959396683834963,21.682365054670164
0.001175554006744,605,128,153,0.1319426445665632,20.187224618684173
0.0163679336927472,200,18,400,0.272749450480667,109.0997801922668
0.0008558642711551,1000,16,208,0.0371638890688003,7.730088926310461
0.0008545283964476,1000,16,198,0.0641095722140808,12.693695298388
0.0010842820909162,889,16,209,0.0468610015527461,9.793949324523934
0.0011014809666278,871,16,218,0.0404813020334115,8.824923843283706
0.001119885344075,848,16,293,0.1013434847747508,29.693641039001985
0.0118750879135474,200,124,400,0.0622280349665492,24.89121398661968
0.011874558002624,586,21,400,1.154762335225834,461.9049340903336
0.0016810672982496,1000,121,220,0.05870196266797,12.9144317869534
0.0133026395057065,200,128,248,0.0803220040866638,19.919857013492624
0.0011820770311079,701,77,178,0.0568533391625001,10.119894370925016
0.0005384071794805,425,16,200,0.0555094802715284,11.10189605430568
0.001447231767449,779,99,175,0.1038641060509335,18.17621855891336
0.0009618709064298,629,62,122,0.0689421529811123,8.4109426636957
0.0005,1000,67,189,0.0490953711235998,9.279025142360362
0.0011120793913407,476,58,148,0.0491090661325744,7.268141787621012
0.0011421747197747,434,57,198,0.0679830634800028,13.460646569040554
0.0005,1000,66,123,0.0900758576115757,11.079330486223812
