theta,omega,torque
-1.5707963267948966,-1.0,-1.0
-1.5707963267948966,-1.0,-0.9310344827586207
-1.5707963267948966,-1.0,-0.8620689655172413
-1.5707963267948966,-1.0,-0.7931034482758621
-1.5707963267948966,-1.0,-0.7241379310344828
-1.5707963267948966,-1.0,-0.6551724137931034
-1.5707963267948966,-1.0,-0.5862068965517242
-1.5707963267948966,-1.0,-0.5172413793103449
-1.5707963267948966,-1.0,-0.4482758620689655
-1.5707963267948966,-1.0,-0.3793103448275862
-1.5707963267948966,-1.0,-0.31034482758620685
-1.5707963267948966,-1.0,-0.24137931034482762
-1.5707963267948966,-1.0,-0.1724137931034483
-1.5707963267948966,-1.0,-0.10344827586206895
-1.5707963267948966,-1.0,-0.034482758620689724
-1.5707963267948966,-1.0,0.034482758620689724
-1.5707963267948966,-1.0,0.10344827586206895
-1.5707963267948966,-1.0,0.17241379310344818
-1.5707963267948966,-1.0,0.24137931034482762
-1.5707963267948966,-1.0,0.31034482758620685
-1.5707963267948966,-1.0,0.3793103448275863
-1.5707963267948966,-1.0,0.4482758620689655
-1.5707963267948966,-1.0,0.5172413793103448
-1.5707963267948966,-1.0,0.5862068965517242
-1.5707963267948966,-1.0,0.6551724137931034
-1.5707963267948966,-1.0,0.7241379310344827
-1.5707963267948966,-1.0,0.7931034482758621
-1.5707963267948966,-1.0,0.8620689655172413
-1.5707963267948966,-1.0,0.9310344827586206
-1.5707963267948966,-1.0,1.0
-1.5707963267948966,-0.9310344827586207,-1.0
-1.5707963267948966,-0.9310344827586207,-0.9310344827586207
-1.5707963267948966,-0.9310344827586207,-0.8620689655172413
-1.5707963267948966,-0.9310344827586207,-0.7931034482758621
-1.5707963267948966,-0.9310344827586207,-0.7241379310344828
-1.5707963267948966,-0.9310344827586207,-0.6551724137931034
-1.5707963267948966,-0.9310344827586207,-0.5862068965517242
-1.5707963267948966,-0.9310344827586207,-0.5172413793103449
-1.5707963267948966,-0.9310344827586207,-0.4482758620689655
-1.5707963267948966,-0.9310344827586207,-0.3793103448275862
-1.5707963267948966,-0.9310344827586207,-0.31034482758620685
-1.5707963267948966,-0.9310344827586207,-0.24137931034482762
-1.5707963267948966,-0.9310344827586207,-0.1724137931034483
-1.5707963267948966,-0.9310344827586207,-0.10344827586206895
-1.5707963267948966,-0.9310344827586207,-0.034482758620689724
-1.5707963267948966,-0.9310344827586207,0.034482758620689724
-1.5707963267948966,-0.9310344827586207,0.10344827586206895
-1.5707963267948966,-0.9310344827586207,0.17241379310344818
-1.5707963267948966,-0.9310344827586207,0.24137931034482762
-1.5707963267948966,-0.9310344827586207,0.31034482758620685
-1.5707963267948966,-0.9310344827586207,0.3793103448275863
-1.5707963267948966,-0.9310344827586207,0.4482758620689655
-1.5707963267948966,-0.9310344827586207,0.5172413793103448
-1.5707963267948966,-0.9310344827586207,0.5862068965517242
