theta,omega
-1.6104867601719606,-0.3457339113957209
-1.6104833244396743,-0.3456653203841379
-1.610479888707145,-0.34559672937245806
-1.6104764529748108,-0.345528138361248
-1.6104730172426727,-0.3454595473505081
-1.6104695815102286,-0.34539095633958977
-1.6104661457777927,-0.34532236532889865
-1.610462710045552,-0.34525377431867754
-1.6104592743132564,-0.3451851833086027
-1.610455838581031,-0.34511659229883546
-1.6104524028487512,-0.34504800128921476
-1.6104489671162896,-0.34497941027957785
-1.6104455313842772,-0.3449108192707351
-1.6104420956519565,-0.3448422282617147
-1.6036827601887442,-0.2786119020020148
-1.603679324471285,-0.27854331156306467
-1.6036758887544291,-0.27847472112491056
-1.6036724530371043,-0.27840613068654746
-1.6036690173194306,-0.2783375402480872
-1.6036655816026,-0.27826894981064515
-1.6036621458854199,-0.2782003593731062
-1.6036587101680086,-0.278131768935582
-1.6036552744509642,-0.2780631784986295
-1.6036518387336889,-0.277994588061692
-1.6036484030164215,-0.27792599762499226
-1.6036449672990423,-0.2778574071884189
-1.6036415315817918,-0.2777888167521945
-1.6036380958645486,-0.277720226316208
-1.603634660147674,-0.2776516358807916
-1.603631224430448,-0.27758304544528034
-1.6036277887132286,-0.27751445501000666
-1.6036243529960192,-0.2774458645749704
-1.6036209172788163,-0.2773772741401724
-1.6036174815618633,-0.277308683705833
-1.6036140458446777,-0.27724009327151006
-1.6036106101272567,-0.27717150283720393
-1.6036071744105713,-0.2771029124037983
-1.6036037386934094,-0.2770343219701884
-1.6036003029761345,-0.27696573153670623
-1.6035968672591105,-0.2768971411036815
-1.6035934315418514,-0.2768285506706628
-1.6035899958246012,-0.2767599602378675
-1.6035865601078454,-0.27669136980573683
-1.6035831243904906,-0.276622779373278
-1.5968238299552995,-0.21039397527166362
-1.5968203942562023,-0.21032538540661538
-1.5968169585576688,-0.21025679554217655
-1.5968135228591471,-0.2101882056779655
-1.5968100871606357,-0.21011961581398175
-1.596806651461581,-0.21005102594984326
-1.5968032157633694,-0.20998243608650607
-1.5967997800643352,-0.20991384622282253
-1.5967963443647535,-0.20984525635898402
-1.596792908666296,-0.2097766664961381
-1.59678947296785,-0.20970807663351992
-1.596786037269136,-0.20963948677093816
-1.5967826015695934,-0.20957089690800973
-1.59677916587118,-0.20950230704607464
-1.5967757301719363,-0.20943371718379278
-1.596772294473824,-0.20936512732250429
-1.596768858774882,-0.20929653746086935
-1.5967654230767918,-0.2092279476000366
-1.5967619873778702,-0.2091593577388571
-1.596758551679521,-0.20909076787828845
-1.5967551159809026,-0.2090221780177562
-1.5967516802820114,-0.20895358815725995
-1.5967482445839778,-0.20888499829756654
-1.596744808885108,-0.20881640843752622
-1.5967413731859657,-0.2087478185775219
-1.5967379374873982,-0.2086792287181289
-1.5967345017888412,-0.20861063885896383
-1.5967310660905794,-0.2085420490002184
