lr,epochs,batch_size,length
0.0049850185093746,695,59,291
0.049169928847436,573,112,400
0.0005,805,78,151
0.0005,693,91,194
0.0005,855,69,172
0.0005,844,66,165
0.0005,828,63,162
0.0005,1000,79,195
0.0005,646,128,213
0.0005,768,55,151
0.0005,766,55,186
0.0066708932030005,531,128,197
0.0005,779,55,148
0.0005,774,54,185
0.0395902250493741,1000,16,400
0.0005,573,16,143
0.0005,604,16,217
0.0005,836,73,171
0.0005,763,53,194
0.05,1000,128,400
0.0087915261754374,203,128,400
0.0141122672621388,200,128,400
0.001632003622083,892,128,153
0.0016272157217439,875,128,182
0.003175429546243,413,16,400
0.0005,695,128,174
0.0005,737,91,155
0.0005,738,91,161
0.0084380445117354,997,128,222
0.0017692574222423,884,89,152
0.0020250627522429,778,97,144
0.0016380254386195,1000,87,207
0.004881534625675,522,128,177
0.0024780926569144,691,98,186
0.0018879504868703,634,128,157
0.0018962942526468,630,128,172
0.0016473640493747,808,83,144
0.0016233107332566,813,82,195
0.0360093870382958,200,16,400
0.0027716243303026,660,128,160
0.0005,748,89,192
0.0028797965540665,659,128,231
0.0399288778495815,347,103,400
0.0300440828183511,557,27,400
0.0232328201523104,467,32,400
0.0327189794109682,245,97,400
0.0469583590962796,201,127,400
0.0310653347265719,689,17,400
0.00164159003955,620,61,163
0.0028099503290739,979,42,199
0.0049850185093746,695,59,276
0.049169928847436,573,112,400
0.0023137416111425,389,128,221
0.0453707381167169,1000,16,400
0.008141458449099,1000,63,400
0.0277992825576821,200,128,400
0.0005,782,82,138
0.0005,778,82,208
0.0005,792,80,257
0.0041174580137668,983,127,180
0.0006535796909404,992,122,179
0.0027839645042366,947,127,161
0.0026846344723527,705,128,156
0.0036626237552821,985,128,178
0.0046193688763826,961,128,174
0.0005139571328569,931,20,196
0.0016725234985232,978,126,196
0.0028373519322842,689,128,202
0.0009477529870423,996,128,165
0.0011966511867322,990,125,167
0.0005,1000,72,145
0.0050197956335772,710,128,179
0.0014540519193539,201,126,150
0.0005,1000,57,192
0.0007237756404693,226,127,151
0.0034225183016137,992,100,176
0.0018711224417244,1000,128,165
0.0005079862591138,220,56,259
0.0006256477789301,966,17,168
0.000801074053592,981,125,115
0.0017255760882979,214,128,203
0.0006226637370987,957,127,151
0.0005087680325061,1000,21,183
0.0006926244108593,996,18,158
0.000550791317378,917,125,166
0.000524041349956,248,126,183
0.0005137958105667,989,25,165
0.0006041466227336,972,124,194
0.0025342441951681,996,126,159
0.0057401300483995,977,128,375
0.0006064589468794,671,128,157
