theta1,theta2,omega1,omega2
-0.018812865009329473,-0.38249128034689994,-0.49751606608903576,1.4458923707939602
-0.01958139607165374,-0.3985994282820026,-0.47707499535882353,1.6532858630484353
-0.020503635590489688,-0.41735984205282195,-0.45650045204922407,1.8630161913084875
-0.016691635301819056,-0.32917523709962965,-0.46442036528536174,-0.28338147524110147
-0.01612217397988128,-0.31849565837440985,-0.4451916364934309,-0.10061825384040209
-0.01568323136381015,-0.3102323532037115,-0.42584822557055635,0.08419714721985115
-0.015372316418931489,-0.3043078341501107,-0.40639149864572743,0.2710169086834871
-0.015186590971428467,-0.3006315493389751,-0.3868231936754656,0.45977945649514523
-0.015122851931495152,-0.29909882227578344,-0.3671454319815508,0.6504079885689578
-0.01517754701134765,-0.29959041219458504,-0.3473607015110176,0.8428098064781839
-0.01534664884344574,-0.3019709961585078,-0.3274720592386713,1.0368742513498341
-0.0156257612516179,-0.30608932060673577,-0.3074829388716693,1.2324727537733677
-0.016010043552633597,-0.311777558894979,-0.2873972862953985,1.4294578540218932
-0.01649420817905518,-0.31885112535079935,-0.2672195620727486,1.6276627915205306
-0.010972159058835255,-0.22406738485345806,-0.278134147901965,-0.5461271400316046
-0.010410063546770664,-0.21120809335517102,-0.25897888781120354,-0.3674463859855968
-0.00993215742566199,-0.19994370091565045,-0.2397450373651491,-0.18734158849293786
-0.009533458092830842,-0.1901371396579402,-0.22043701645866165,-0.005932713049409219
-0.009208652361041257,-0.18163946736787176,-0.2010596158968207,0.17664696898769205
-0.008952087567352194,-0.17429061488904132,-0.18161801185701454,0.36025167657685814
-0.008757815720992136,-0.16791985024930478,-0.16211772098048677,0.5447235458579789
-0.008619599452592244,-0.16234646487423857,-0.14256459567631022,0.7298933401710516
-0.008530923074138105,-0.15738090201399227,-0.12296481048644677,0.9155817460338563
-0.008485020479655252,-0.15282611265749182,-0.10332482875600867,1.1016009108278644
-0.008474919670467908,-0.1484792273055302,-0.08365135288007972,1.2877563924844342
-0.001747357739588098,-0.051370981474198295,-0.09663748798909785,-0.9005612450245561
-0.0013565360512909196,-0.03997929400698333,-0.07735018192867275,-0.7215110769152908
-0.0009931805484471232,-0.029328175415525532,-0.05803619973190987,-0.5417579983954381
-0.0006505500109430628,-0.019237994002354382,-0.03870206298657999,-0.3614713347279914
-0.00032179541159088273,-0.009524434848938914,-0.019354420155552172,-0.1808258480924551
0.0,0.0,0.0,0.0
0.0003217954115908825,0.00952443484893893,0.019354420155552183,0.18082584809245525
0.0006505500109433305,0.019237994002353032,0.038702062986579425,0.36147133472799353
0.0009931805484467704,0.029328175415527367,0.05803619973191063,0.5417579983954354
0.0013565360512909196,0.03997929400698333,0.07735018192867275,0.7215110769152908
0.001747357739588098,0.051370981474198295,0.09663748798909785,0.9005612450245561
0.008474919670468165,0.14847922730553456,0.08365135288007956,-1.28775639248444
0.008485020479656873,0.15282611265752022,0.10332482875600688,-1.1016009108279006
0.00853092307413769,0.15738090201398694,0.12296481048644774,-0.9155817460338491
0.00861959945259215,0.16234646487423737,0.14256459567631047,-0.7298933401710517
0.008757815720989492,0.16791985024935405,0.16211772098048863,-0.544723545858052
0.00895208756735484,0.17429061488907022,0.18161801185701174,-0.36025167657689067
0.009208652361044508,0.18163946736783165,0.20105961589681765,-0.17664696898763657
0.009533458092830772,0.19013713965794055,0.2204370164586654,0.00593271304944315
0.009932157425661853,0.19994370091564906,0.23974503736514946,0.18734158849294016
0.010410063546770683,0.21120809335517013,0.2589788878112037,0.3674463859855979
0.010972159058863252,0.22406738485415736,0.27813414790192886,0.5461271400307312
0.01649420817905504,0.31885112535079807,0.2672195620727493,-1.6276627915205293
0.016010043552633548,0.3117775588949783,0.2873972862953986,-1.4294578540218916
0.015625761251618103,0.3060893206067384,0.30748293887166867,-1.232472753773373
0.015346648843446059,0.30197099615850853,0.32747205923867045,-1.0368742513498381
0.01517754701134766,0.2995904121945851,0.34736070151101783,-0.842809806478184
0.015122851931495193,0.29909882227578616,0.36714543198155103,-0.6504079885689653
0.015186590971428458,0.3006315493389751,0.3868231936754658,-0.45977945649514534
0.015372316418932143,0.30430783415011387,0.4063914986457271,-0.27101690868349537
0.015683231363810193,0.31023235320371173,0.4258482255705565,-0.08419714721985114
0.01612217397988126,0.3184956583744098,0.4451916364934312,0.10061825384040285
0.01669163530181913,0.32917523709962904,0.46442036528536196,0.2833814752411026
0.02050363559048418,0.417359842052832,0.4565004520492217,-1.8630161913085173
0.019581396071653736,0.3985994282820027,0.47707499535882353,-1.6532858630484348
0.01881286500933099,0.38249128034690355,0.4975160660890368,-1.4458923707939562
0.01820034608937917,0.36914249199382015,0.5178230978376119,-1.240898577216765
0.01774573930220628,0.3586418851196864,0.5379959432052472,-1.0383472967331642
0.01745058163099243,0.35106179714968,0.5580348274579405,-0.8382636800812913
0.01731609181618631,0.3464596709968434,0.5779403060262762,-0.640657475658453
0.017343155638523393,0.34488043869271057,0.5977131839845127,-0.4455257565605841
0.01753246243005989,0.3463568760547069,0.6173545543754168,-0.25285388614589765
0.0178844224658193,0.35091214481075883,0.6368656794972417,-0.06261851280317507
0.018399252979195202,0.3585606101624573,0.6562479977510258,0.1252112643214491
0.02069051611890606,0.43674362470398,0.6510926579923725,-1.9872306399479922
0.019484568774227287,0.4096554909108767,0.6718343682778762,-1.771119721105661
0.01846669219792809,0.3861910931100334,0.6924300450887988,-1.5579943298589656
0.017636556174380404,0.36636435857970473,0.7128825419407365,-1.3477940103528605
0.01699363322183738,0.3501788523433538,0.7331948499134953,-1.1404491743816183
0.016537255850992548,0.33762981618663906,0.7533700468581582,-0.935883584444862
0.016266620408628404,0.3287054645417074,0.7734112766058584,-0.734016062796863
0.016180820885400883,0.32338840499755933,0.7933217155884016,-0.5347622600139232
0.016278855928167447,0.32165666881720895,0.8131045539681191,-0.3380359450194482
0.016559664550688434,0.32348490683960723,0.8327629619495012,-0.14375040514984933
0.017022128047334068,0.32884493940701065,0.8523000830347559,0.0481807568538577
0.018246485611624102,0.3967169003955286,0.8492157234470878,-2.0309482709997737
0.01690132876706106,0.36531984804773154,0.8699181140040957,-1.8141895414557694
0.01575974104953445,0.33803942736216913,0.8904886856289785,-1.6003883042020284
0.014820097715505616,0.31483260112830946,0.9109320684913755,-1.3894069679617516
0.014080768536889821,0.29565471556172934,0.9312528029847115,-1.1811097567313966
0.013540131865775311,0.28046035929084834,0.9514553251137101,-0.9753637320461094
0.013196581321924613,0.26920392906833407,0.971543955450077,-0.7720394339634676
0.013048536263443454,0.26184019672291636,0.9915228923665322,-0.5710115410139831
0.013094445724289333,0.2583246443106031,1.0113962036288133,-0.3721592295244335
0.013332793615701341,0.2586137731053365,1.0311678215432847,-0.17536651351446225
0.013762102937061618,0.2626653119203771,1.0508415555787889,0.01947752647927184
0.04814620167028873,0.34280239955040426,-1.049454696512832,0.0031610771316275127
0.04855395291000015,0.3462431485281483,-1.0297436250070722,0.19893261267820234
0.04877164820297622,0.3459417293398168,-1.0099450970025707,0.3963536058258481
0.048797983559986456,0.34186237398101765,-0.9900553188319252,0.5955352579443071
0.0486316180356091,0.33396766142800866,-0.9700703525686505,0.7965947501946248
0.04827115863617786,0.3222185696615997,-0.9499861235156903,0.9996542390721408
0.047715173416068124,0.3065746928545912,-0.929798408441508,1.20484116266408
0.04696218998709502,0.28699440803052506,-0.90950286436576,1.4122880063438068
0.04601070551989293,0.26343527997299704,-0.8890949915742841,1.6221317901239218
0.04485919659342876,0.23585445107924388,-0.8685701814085321,1.8345137608705393
0.043506096106789655,0.20420899947281668,-0.84792370137811,2.0495788327497535
0.04470517737087729,0.2726697047328683,-0.8509289631522088,-0.02555262396818061
0.045143442058068986,0.27728566359510565,-0.8313502035566354,0.1675494582367755
0.04540071356413419,0.2783775569950353,-0.811658799149066,0.3627672947360467
0.04547590647347394,0.27591770388924075,-0.7918514716050261,0.560193767179533
0.04536796630896504,0.2698799652111178,-0.7719248840615351,0.7599236082286883
0.04507588159248409,0.2602403703672279,-0.7518756547090967,0.9620526702377956
0.04459869800212998,0.24697785316581292,-0.7317003732071241,1.1666770355038754
0.04393552756609247,0.23007504855181143,-0.7113956169370449,1.3738920622212394
0.04308558197045948,0.20951950288771884,-0.6909579795902864,1.5837908688809244
0.04204817970486678,0.1853047788121845,-0.6703840930327644,1.7964629909597563
0.040822780748418226,0.1574319699510453,-0.6496706587899238,2.0119925037176616
0.04307231186416862,0.23623993805323054,-0.6547119357766505,-0.09655015612866881
0.04356061963161456,0.2429583350452618,-0.6352847055864479,0.09274591796666717
0.04388568207466146,0.24655700125598162,-0.6157343799664584,0.28430098630861544
0.04404753823460596,0.24704289805499435,-0.596059141428098,0.4781615766893089
0.044046396925475365,0.2444299219151928,-0.5762572914930514,0.6743691206843413
0.04388266023859716,0.23874008902561974,-0.5563272802425001,0.8729584459910488
0.043556946988303036,0.23000479817874195,-0.5362677388293821,1.0739561362229277
0.04307012695459578,0.21826631021364032,-0.5160775160618207,1.2773786464684684
0.0424233486013205,0.20357934924220353,-0.4957557251711462,1.4832301543290247
0.04161806195773036,0.18601274589698874,-0.47530178116605076,1.691500382419971
